African forest elephant,Critically Endangered,Unknown,2-5 tons,dense tropical forests,https://files.worldwildlife.org/wwfcmsprod/images/forest_elephant_WW139203/hero_small/5rwvqrm1jx_Medium_WW139203.jpg
Amur Leopard,Critically Endangered,Panthera pardus orientalis,70 -105 pounds,Temperate, Broadleaf, and Mixed Forests,https://files.worldwildlife.org/wwfcmsprod/images/Amur_Leopard_/hero_small/k6vvkt4tj_amur_leopard_99144569.jpg
Black Rhino,Critically Endangered,Diceros bicornis,1760-3080 pounds,Semi-Desert Savannah, Woodlands, Forests, Wetlands,https://files.worldwildlife.org/wwfcmsprod/images/Black_Rhino_8.6.2012_Hero_and_Circle_HI_48366.jpg/hero_small/5wj13dkb6y_Black_Rhino_8.6.2012_Hero_and_Circle_HI_48366.jpg
Bornean Orangutan,Critically Endangered,Pongo pygmaeus,66–220 pounds,Lowland rainforests and tropical, swamp and mountain forests,https://files.worldwildlife.org/wwfcmsprod/images/Bornean_Orangutan_Hero_and_Circle_Image/hero_small/4qp7nsu683_Bornean_Orangutan_8.1.2012_hero_and_circle_XL_279107.jpg
Cross River Gorilla,Critically Endangered,Gorilla gorilla diehli,up to 440 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Cross_River_Gorilla_and_Baby/hero_small/5uhezts10b_Medium_WW267197.jpg
Eastern Lowland Gorilla,Critically Endangered,Gorilla beringei graueri,up to 440 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/eastern_lowland_gorilla_hero_and_circle_image/hero_small/4gzbw4krtx_eastern_lowland_gorilla_7.31.2012_hero_and_circle_HI_48384.jpg
Hawksbill Turtle,Critically Endangered,Eretmochelys imbricata,90-150 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/DO_NOT_USE_Hawksbill_Turtle/hero_small/5a94z3yczo_Medium_WW22305.jpg
Javan Rhino,Critically Endangered,Rhinoceros sondaicus,1984 - 5071 pounds,Tropical forests,https://files.worldwildlife.org/wwfcmsprod/images/Javan_Rhino_7_14_2015_HERO/hero_small/mfvrot8yp__H9A0249.jpg
Orangutan,Critically Endangered,Pongo abelii, Pongo pygmaeus,up to 200 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/LG_Orangutans_Hero_image__c__naturepl.com_Anup_Shah_WWF.jpg/hero_small/3c2smbiuwc_LG_Orangutans_Hero_image__c__naturepl.com_Anup_Shah_WWF.jpg
Saola,Critically Endangered,Pseudoryx nghetinhensis,176-220 lbs,Evergreen forests with little or no dry season,https://files.worldwildlife.org/wwfcmsprod/images/Saola/hero_small/9rljuvjh6l_Saola_Circle_image_HI_37218.jpg
Sumatran Elephant ,Critically Endangered,Elephas maximus sumatranus,approximately 5 tons,Broadleaf moist tropical forests,https://files.worldwildlife.org/wwfcmsprod/images/Sumatran_elephants_08.10.2012_Species/hero_small/26meo6d750_MID_247517.jpg
Sumatran Orangutan,Critically Endangered,Pongo abelii,66 – 198  pounds,Tropical and Subtropical Moist Broadleaf Forests,https://files.worldwildlife.org/wwfcmsprod/images/sumatran_orangutan_8.6.2012_Hero_and_Circle_image_XL_257636.jpg/hero_small/b0umbt3ds_sumatran_orangutan_8.6.2012_Hero_and_Circle_image_XL_257636.jpg
Sumatran Rhino,Critically Endangered,Dicerorhinus sumatrensis,1320-2090 pounds,Dense highland and lowland tropical and sub-tropical forests,https://files.worldwildlife.org/wwfcmsprod/images/Sumatran_Rhino/hero_small/6t0mr32ggi_Photo_3_Sumatran_rhino_4__c__Bill_Konstant_International_Rhino_Foundation.jpg
Sunda Tiger,Critically Endangered,Panthera tigris sondaica,165–308 pounds,Tropical broadleaf evergreen forests, freshwater swamp forests and peat swamps,https://files.worldwildlife.org/wwfcmsprod/images/Sumatran_Tiger_New_Hero_Image/hero_small/47na1tq1ai_Sumatran_Tiger_Hero.jpg
Vaquita,Critically Endangered,Phocoena sinus,Up to 120 pounds,Marine (only in the northern Gulf of California),https://files.worldwildlife.org/wwfcmsprod/images/Vaquita_1_Thomas_A_Jefferson_20081019.jpg/hero_small/7ctefeya3b_Vaquita_1_Thomas_A_Jefferson_20081019.jpg
Western Lowland Gorilla,Critically Endangered,Gorilla gorilla gorilla,up to 440 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/Western_Lowland_Gorilla/hero_small/9jqnmeu6xk_Gorilla_07.24.2012_Help.jpg
Yangtze Finless Porpoise,Critically Endangered,Neophocaena asiaeorientalis ssp. asiaeorientalis,Unknown,Lakes & Rivers,https://files.worldwildlife.org/wwfcmsprod/images/yangtze_finless_porpoise_7.23.2012_image2_HI_105590.jpg/hero_small/2mg7v1x0rm_yangtze_finless_porpoise_7.23.2012_image2_HI_105590.jpg
African savanna elephant,Endangered,Loxodonta africana africana,4-7 tons,All of sub-Saharan Africa except for Central Africa’s dense tropical forest,https://files.worldwildlife.org/wwfcmsprod/images/African_Savanna_Elephant_07.30.2012_Hero/hero_small/fzatpwdrr_HI_17486.jpg
African Wild Dog,Endangered,Lycaon pictus,40-70 pounds,Deserts, Forests, Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/African_wild_dogs_magazine_HERO__winter_2013/hero_small/374cozwovs_wild_dogs_web.jpg
