0,Lost Tree,Acacia,-,Sahara desert 20°38′42″N 11°14′56″E,,A very isolated tree and important landmark
1,The Cotton Tree,Kapok (Ceiba pentandra),-,Freetown Sierra Leone 8°29′14″N 13°14′08″W,,Historic symbol of Freetown.
2,Wonderboom tree in Pretoria,Wonderboom (Ficus salicifolia),-,Pretoria South Africa 25°41′13″S 28°11′30″E﻿,,"A sprawling fig tree in Pretoria, South Africa."
3,El Drago Milenario,Dragon tree (Dracaena draco),-,Icod de los Vinos Tenerife 28°22′00″N 16°43′20″W﻿,,"Has been a local tourist attraction for more than a hundred years (mentioned by Alexander von Humboldt, for instance)."
4,Sunland Baobab,Baobab (Adansonia digitata),1060,Limpopo Province South Africa23°37′16″S 30°11′53″E﻿,,"A giant and ancient baobab tree, with a pub in the hollow."
5,Sagole Baobab,Baobab (Adansonia digitata),,Near Tshipise in Vendaland South Africa 22°30′00″S 30°38′00″E﻿,,Largest baobab in South Africa
6,Glencoe Baobab,Baobab (Adansonia digitata),1835,Hoedspruit South Africa 24°22′25″S 30°51′24″E﻿,,Stoutest and second largest baobab in South Africa
7,Ombalantu baobab tree,Baobab (Adansonia digitata),800,Outapi Namibia17°30′43″S 14°59′16″E﻿,,"Has served as a chapel, post office, house, and place of hiding."
8,Omukwiyugwemanya,Fig tree (Ficus),,Oshigambo Namibia 17°47′13″S 16°04′26″E﻿,,Tourist attraction
9,Post Office Tree,White milkwood (Sideroxylon inerme),c. 600,Mosselbay South Africa 34°10′49″S 22°08′29″E﻿,,"Acted as a ""post office"" in earlier times and now has a boot shaped postbox."
10,Treaty Tree,White milkwood (Sideroxylon inerme),c. 500,Woodstock Cape Town,,Site of a peace treaty in 1806.
11,Big Tree in Chirinda Forest,Nyasa redwood (Khaya anthotheca ),1000+,Chirinda Forest Zimbabwe 20°26′29″S 32°42′15″E﻿,,Declared a National Monument
12,Tree of Ténéré,Acacia,,Sahara desert17°45′00″N 10°04′00″E,,"A very isolated tree in the Sahara desert, notable before 1934, in Niger, destroyed in 1973."
13,Panke Baobab,African baobab (Adansonia digitata),2419,Zimbabwe,,Oldest documented non-clonal angiosperm. Tree fell in 2011.[1]
14,Chapman's Baobab,African baobab (Adansonia digitata),,Botswana,,Found and named after James Chapman and marked by explorer David Livingstone. Tree fell in 2016.[2]
15,Cypress of Abarkuh,Cypress (Cupressus sempervirens),4500,Abarkuh Yazd Province,,The second oldest living tree in the world.
16,Sisters Olive Trees of Noah,Olive tree (Olea europaea),"Claimed to be 5,000 to 6,000",Bcheale Batroun District,,Some claim these are the oldest living trees on Earth. Legends refer to these trees as the source of the olive branch in the Genesis flood narrative.[3][4][5][6]
17,Cedars of God,Lebanon cedar (Cedrus libani),-,Lebanon34°14′37″N 36°02′54″E﻿,,"A small forest (approximately 400,000 square feet (37,000 m2)) of about 400 Lebanon cedars at about 2,300 meters above sea level in the mountains of northern Lebanon. The cedars of Lebanon are mentioned in the Bible over 70 times and used as symbols of the Messiah, and they were prized by historical figures such as Herod, Alexander, and Julius Caesar. They also have a mention in the Epic of Gilgamesh."
18,Thimmamma Marrimanu,Banyan (Ficus benghalensis),800,Anantapur District Andhra Pradesh,,A clonal colony of Indian banyan with a crown area of over 11 acres. This is the largest tree in the world by crown area.
19,Osmania Lifesaver,Tamarind (Tamarindus indica),300,Hyderabad Telangana,,A large tamarind tree near the river Musi in Hyderabad. In 1908 150 people hung on to this tree for two full days amidst a severe flood. The tree stood strong and continues to do so after 110 years. The tree is currently over 300 years old.
20,,Balete tree,1300,OISCA Farm in Canlaon City Philippines,,"The over 1,300-year-old balete tree (related to banyan trees) is probably the oldest known tree in the country as estimated by botanists from Silliman University.[7]"
21,Hibakujumoku,Various,Various,Hiroshima Japan,,170 trees that survived the atomic bombing of Hiroshima
22,Jaya Sri Maha Bodhi,Sacred fig (Ficus religiosa),2300,Anuradhapura Sri Lanka 8°20′41″N 80°23′48″E﻿,,A sacred fig propagated from the Bodhi Tree under which Buddha became enlightened. It was planted in 288 BC.[8]
23,Jōmon Sugi,Japanese cedar (Cryptomeria japonica),-,Yakushima island Japan 30°21′40.76″N 130°31′55.81″E﻿,,Ancient specimen
24,Great sugi of Kayano,Japanese cedar (Cryptomeria japonica),2300,Kaga Ishikawa Prefecture,,
25,Ginkgo Tree of the Confucian Shrine of Seoul,Ginkgo (Ginkgo biloba),500,Sungkyunkwan University Seoul,,A pair of ginkgo trees
26,Big Banyan Tree,Banyan (Ficus benghalensis),400,Ramohalli Bangalore,,
27,Tree of Life,Mesquite (Prosopis cineraria),400,Bahrain 25°59′39″N 50°35′00″E﻿,,
28,Chankiri Tree (Killing tree),Samanea saman/Albizzia saman[9],-,Cambodian Killing Fields,,A tree in the Killing Fields against which children and infants were slung to kill them.
29,Rahmat tree,Plane tree (Platanus),700,Kermanshah Kermanshahan Province,,Located in the historical area of Taq Bostan.
30,The Ying Ke Pine,Huangshan pine (Pinus hwangshanensis),"Thought to be 1,500",Huangshan China,,"Ying Ke, meaning ""Welcoming-Guests"" pine on Huangshan."
31,,Tembusu (Fagraea fragrans),100,Singapore Botanical Gardens Singapore,,The tree is featured on the reverse of a $5 Singapore note.
32,Methuselah,Judean date palm (Phoenix dactylifera),About 12,Israel,,"The formerly extinct tree was sprouted from a 2,000-year-old seed."
33,Hathi ka pedh,Baobab (Adansonia digitata),320,Purana Qila Hyderabad India,,"A gift from African traders, this huge tree is an iconic landmark of the erstwhile Qutb Shahi era."
34,Midh Ranjha Tree,Banyan,700,Midh Ranjha Sargodha Pakistan,,A gift from Sufi.
35,Takeshi Kaneshiro Tree(金城武樹),Bishop wood (Bischofia javanica),About 40,Chishang Taitung,,Made famous by advertisements for EVA Air with Takeshi Kaneshiro made in June 2013 under this tree.
36,Alishan Sacred Tree,Cypress,3000,Alishan train station Taiwan 23°21′N 120°48′E,,"The tree fell on July 1, 1997."
37,The Bodhi Tree,Sacred fig (Ficus religiosa),-,Bodh Gaya India24°41′45.29″N 84°59′29.29″E﻿,,The tree under which Buddha obtained enlightenment. The current tree at the site is a replacement.
38,Guilty Chinese Scholartree,Pagoda tree (Styphnolobium japonicum),,Jingshan park39°55′23.22″N 116°23′33.64″E﻿,,"The tree on which the Chongzhen Emperor hanged himself shortly after escaping the Forbidden City in Beijing, China. The original tree died and was replaced by a replica."
39,Changi Tree,Hopea sangal or Sindora wallichii,,Singapore,,"A historical visual landmark located in Singapore. Thought to be a specimen of Sindora wallichii, with an estimated height of 75 metres (246 ft), it was felled with explosive charges during the Second World War to prevent its use as a ranging aide by the approaching Japanese artillery."
40,Dry tree,Platanus,,Northern Persia possibly Tabriz or somewhere in Khorasan,,"According to a legend, the solitary Dry tree marked the spot of a great battle between Alexander the Great and Darius. Later recorded by Marco Polo."
41,Cypress of Kashmar,Cypress,,Kashmar Khorasan,,"According to a legend, it has sprung from a branch brought by Zoroaster from Paradise."
42,The Lone Pine,Turkish pine (Pinus brutia),,Gallipoli Peninsula Turkey 40°13′49.48″N 26°17′14.74″E﻿,,A solitary tree which marked the site of the Battle of Lone Pine in 1915.
